,,Game,Game,Def,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb,,Tack,Tack,Tack,Tack,
Shy Tuttle,dl,16,1,1,19,0,19,4,0,0,0,0,0,2,18,8,10,3,0
Tanner Vallejo,NA,11,0,0,0,0,0,0,1,0,0,0,0,1,8,8,0,2,0
Tyrell Adams,lb,5,2,0,0,0,0,0,1,0,0,0,0,0,13,7,6,0,0
Jamal Agnew,NA,13,0,0,0,0,0,0,1,1,0,0,0,0,9,7,2,0,0
Alex Anzalone,NA,2,0,0,0,0,0,0,0,0,0,0,0,1,7,7,0,1,0
Ben Banogu,NA,16,0,0,0,0,0,1,1,0,0,0,0,2.5,11,7,4,3,0
Nick Bellore,fb,14,1,0,0,0,0,0,0,0,1,0,0,0,7,7,0,0,0
Brandon Bolden,rb,15,2,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0
Tony Brown,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,0,0
Oren Burks,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,0,0
Tae Davis,NA,13,1,0,0,0,0,0,0,0,0,0,0,0,12,7,5,0,0
Ashton Dulin,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
Nate Ebner,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0
Dennis Gardeck,NA,14,0,0,0,0,0,0,0,0,1,0,0,0,11,7,4,0,0
C.J. Goodwin,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,0,0
Porter Gustin,NA,6,0,0,0,0,0,0,0,0,1,0,0,1,13,7,6,1,0
Dontrell Hilliard,NA,14,0,0,0,0,0,0,0,2,1,0,0,0,10,7,3,0,0
Timmy Jernigan,DT,10,9,0,0,0,0,0,0,0,0,0,0,2,10,7,3,3,0
Jaquan Johnson,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0
Colin Jones,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,0,0
Cre'von LeBlanc,cb,4,1,0,0,0,0,2,0,0,0,0,0,0,8,7,1,0,0
Steve Longa,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,15,7,8,0,0
Domata Peko,dt,7,3,0,0,0,0,0,0,0,0,0,0,0,14,7,7,0,0
Olsen Pierre,NA,9,0,0,0,0,0,0,0,0,0,0,0,2,8,7,1,3,0
Sheldon Rankins,NA,10,0,0,0,0,0,0,0,0,0,0,0,2,10,7,3,2,0
Matthew Slater,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,10,7,3,0,0
Aqib Talib,cb,5,5,0,0,0,0,2,0,0,0,0,0,0,14,7,7,0,0
Jullian Taylor,NA,6,0,0,0,0,0,1,0,0,1,10,0,0,9,7,2,4,0
Logan Thomas,te,16,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0
Armon Watts,dt,7,1,0,0,0,0,1,1,0,0,0,0,1.5,13,7,6,0,0
Kayvon Webster,db,2,1,0,0,0,0,2,0,0,0,0,0,0,7,7,0,1,0
Xavier Williams,NA,5,0,0,0,0,0,0,1,0,0,0,0,0,8,7,1,0,0
Ameer Abdullah,NA,16,0,0,0,0,0,0,0,1,0,0,0,0,7,6,1,0,0
Zach Allen,dl,4,1,0,0,0,0,0,0,0,0,0,0,0,8,6,2,1,0
Chris Banjo,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0
Chris Board,NA,15,0,0,0,0,0,0,1,0,0,0,0,0,10,6,4,1,0
Breon Borders,NA,12,1,0,0,0,0,0,0,0,1,0,0,0,7,6,1,0,0
Ventell Bryant,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
Shilique Calhoun,lb,15,1,0,0,0,0,0,1,0,0,0,0,0,9,6,3,0,0
Cody Core,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0
Jack Crawford,dl,16,4,0,0,0,0,3,0,0,0,0,0,0.5,24,6,18,1,0
Ken Crawley,NA,5,2,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
Dane Cruikshank,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0
Jordan Dangerfield,NA,16,0,0,0,0,0,0,1,0,0,0,0,0,13,6,7,1,0
Mike Daniels,dt,9,2,0,0,0,0,0,0,0,0,0,0,1,10,6,4,2,0
Mario Edwards,NA,14,0,0,0,0,0,0,1,0,0,0,0,3,8,6,2,2,0
DeShon Elliott,NA,6,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0
Jordan Evans,NA,16,0,0,0,0,0,1,0,0,0,0,0,0,12,6,6,0,0
Greg Gaines,NA,10,0,0,0,0,0,0,0,0,0,0,0,0.5,13,6,7,0,0
Raven Greene,s,2,1,0,0,0,0,1,0,0,0,0,0,0,7,6,1,0,0
Montre Hartage,NA,4,0,0,0,0,0,1,0,0,0,0,0,0,8,6,2,0,0
Joshua Kalu,NA,8,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,0,0
Christian Kirksey,lb,2,2,0,0,0,0,0,0,0,0,0,0,0,11,6,5,2,0
Dallin Leavitt,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0
Jacob Martin,NA,14,0,0,0,0,0,0,1,0,1,0,0,3.5,11,6,5,3,0
Jordan Richards,NA,12,0,0,0,0,0,0,0,0,1,0,1,0,7,6,1,0,0
Anthony Rush,NA,9,0,0,0,0,0,2,0,0,0,0,0,0,9,6,3,3,0
Orlando Scandrick,cb,3,1,0,0,0,0,0,2,0,1,44,1,2,7,6,1,0,0
Nick Scott,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0
Nathan Shepherd,NA,9,0,0,0,0,0,0,0,0,0,0,0,2,11,6,5,5,0
Trent Sherfield,wr,16,1,0,0,0,0,0,0,0,1,0,0,0,8,6,2,0,0
Durham Smythe,TE,16,14,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0
Julian Stanford,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,8,6,2,0,0
Darian Stewart,fs,13,1,0,0,0,0,1,0,0,0,0,0,0,9,6,3,0,0
Shakial Taylor,NA,5,0,0,0,0,0,1,0,0,0,0,0,0,7,6,1,0,0
Vincent Taylor,NA,3,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,1,0
Neiko Thorpe,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,0
Charles Washington,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,0
Olasunkanmi Adeniyi,NA,16,0,0,0,0,0,0,2,0,0,0,0,0,8,5,3,0,0
D.J. Alexander,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Eli Ankou,dt,9,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,1,0
Johnson Bademosi,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Daren Bates,NA,13,0,0,0,0,0,0,1,0,1,0,0,0,10,5,5,0,0
Kyron Brown,cb,3,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Artie Burns,cb,10,1,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Jamal Carter,NA,11,0,0,0,0,0,1,0,0,0,0,0,0,10,5,5,0,0
Geremy Davis,wr,7,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Sean Davis,s,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Marcus Epps,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Matthias Farley,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Jaeden Graham,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
J.T. Hassell,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Marquis Haynes,NA,11,0,0,0,0,0,0,0,0,1,15,0,1,12,5,7,1,0
D'Ernest Johnson,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Joseph Jones,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Dion Jordan,NA,7,0,0,0,0,0,1,0,0,0,0,0,2,5,5,0,1,0
Patrick Laird,rb,15,4,0,0,0,0,0,0,0,1,0,0,0,6,5,1,0,0
Kyle Love,dt,15,1,0,0,0,0,1,0,0,0,0,0,0,8,5,3,1,0
Albert McClellan,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0
R.J. McIntosh,NA,12,0,0,0,0,0,0,0,0,0,0,0,2,13,5,8,2,0
Barkevious Mingo,lb,16,1,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
C.J. Moore,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Calvin Munson,lb,2,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Hardy Nickerson,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Rakeem Nunez-Roches,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,9,5,4,1,0
Dorian O'Daniel,NA,14,0,0,0,0,0,0,0,0,1,0,0,0,8,5,3,0,0
Zach Pascal,WR,16,13,0,0,0,0,0,0,0,1,0,0,0,5,5,0,1,1
Cordarrelle Patterson,wr,16,4,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Senorise Perry,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
LaRoy Reynolds,NA,15,0,0,0,0,0,1,0,0,0,0,0,0,6,5,1,0,0
Hassan Ridgeway,dt,7,5,0,0,0,0,0,0,0,0,0,0,2,8,5,3,4,0
Derick Roberson,NA,3,0,0,0,0,0,0,0,0,0,0,0,3,6,5,1,3,0
Dominique Rodgers-Cromartie,cb,2,1,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Anthony Sherman,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Zach Sieler,NA,7,1,0,0,0,0,2,0,0,0,0,0,1,11,5,6,1,0
Wendell Smallwood,NA,15,0,0,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0
Andre Smith,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Keith Smith,fb,16,5,0,0,0,0,0,2,0,0,0,0,0,8,5,3,0,0
Taylor Stallworth,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Josiah Tauaefa,NA,12,0,0,0,0,0,0,1,0,0,0,0,0,6,5,1,2,0
De'Anthony Thomas,NA,14,0,0,0,0,0,0,0,3,2,0,0,0,5,5,0,0,0
Simeon Thomas,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Brynden Trawick,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0
Zeke Turner,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Eddie Vanderdoes,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0
Danny Vitale,fb,15,4,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Justin Watson,wr,16,2,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0
Kyle Wilber,lb,14,1,0,0,0,0,2,0,0,0,0,0,0,6,5,1,0,0
Montravius Adams,dl,14,2,0,0,0,0,3,0,0,1,0,0,0,11,4,7,0,0
Beau Allen,NA,13,0,0,0,0,0,0,0,0,0,0,0,0.5,10,4,6,2,0
Ben Braunecker,te,11,3,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
Cortez Broughton,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
Daniel Brown,te,16,5,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Rex Burkhead,rb,13,1,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,0
Derek Carrier,te,16,4,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Cethan Carter,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0
Chase Edmonds,rb,13,2,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Trey Edmunds,NA,11,0,1,2,0,2,1,0,0,0,0,0,0,6,4,2,0,0
Emeke Egbule,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Jayrone Elliott,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Robert Foster,wr,13,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Zaire Franklin,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Bryce Hager,lb,5,4,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,0
Daeshon Hall,NA,9,0,0,0,0,0,0,0,0,0,0,0,1,6,4,2,1,0
C.J. Ham,fb,16,7,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0
Da'Shawn Hand,dl,3,2,0,0,0,0,1,0,0,0,0,0,0,6,4,2,1,0
Demone Harris,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0
Jonathan Harris,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0
Tae Hayes,NA,3,0,0,0,0,0,2,0,0,1,0,0,0,7,4,3,0,0
Trysten Hill,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,0
Johnny Holton,wr,16,3,0,0,0,0,0,0,0,1,0,0,0,8,4,4,0,0
Ty Johnson,rb,16,1,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0
Taiwan Jones,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0
Kenny Ladler,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Devaroe Lawrence,dt,11,2,1,0,0,0,1,0,0,1,0,0,0,8,4,4,2,0
Allen Lazard,wr,16,3,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Aaron Lynch,NA,16,0,0,0,0,0,2,0,0,0,0,0,2,6,4,2,3,0
Isaiah Mack,dt,13,1,0,0,0,0,0,0,0,1,0,0,1.5,8,4,4,1,0
Christopher Milton,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
Stanley Morgan,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
C.J. Mosley,lb,2,2,1,17,1,17,2,0,0,1,0,0,0,9,4,5,0,0
Corey Nelson,lb,7,2,0,0,0,0,0,0,0,0,0,0,0,10,4,6,0,0
Parry Nickerson,db,4,1,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Pat O'Connor,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Darius Phillips,cb,8,1,4,82,0,28,7,0,0,0,0,0,0,5,4,1,0,0
Justin Phillips,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0
Byron Pringle,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0
Kalif Raymond,wr,8,1,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,0
Brooks Reed,NA,9,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,1,0
Kawann Short,dt,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0
Cameron Smith,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0
Malcolm Smith,NA,4,1,0,0,0,0,0,1,0,0,0,0,0,5,4,1,1,0
Benny Snell,rb,13,2,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0
E.J. Speed,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,0
Kentavius Street,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0
Adarius Taylor,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0
Manti Te'o,lb,3,2,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0
Tavierre Thomas,NA,16,0,0,0,0,0,0,0,0,1,0,0,0,9,4,5,0,0
Corey Thompson,NA,12,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,0
Brandon Watson,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
DeAndrew White,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0
Joejuan Williams,NA,9,0,0,0,0,0,1,0,0,0,0,0,0,5,4,1,0,0
Jordan Willis,NA,9,0,0,0,0,0,0,1,0,0,0,0,1,7,4,3,0,0
Renell Wren,dt,11,2,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0,0
Abdullah Anderson,NA,6,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,1,0
Cornell Armstrong,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Genard Avery,NA,10,0,0,0,0,0,0,0,0,0,0,0,0.5,6,3,3,0,0
Evan Baylis,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
B.J. Bello,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Devante Bond,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0
Fred Brown,wr,13,1,0,0,0,0,0,0,1,0,0,0,0,5,3,2,0,0
Ben Burr-Kirven,NA,16,0,0,0,0,0,0,1,0,0,0,0,0,8,3,5,0,0
Michael Burton,fb,10,2,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Sean Chandler,NA,13,0,0,0,0,0,0,0,0,1,0,0,0,7,3,4,0,0
Kurt Coleman,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0
Trevon Coley,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
John Cominsky,NA,10,0,0,0,0,0,2,0,0,0,0,0,0.5,11,3,8,0,0
Darrell Daniels,NA,11,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,1,0
Donte Deayon,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Michael Dogbe,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0
Nick Dzubnar,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0
Daniel Ekuale,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,0
Rudy Ford,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Kavon Frazier,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Luke Gifford,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Ulysees Gilbert,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Cullen Gillaspia,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Stephen Gostkowski,k,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Shaquem Griffin,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Thomas Hennessy,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Travis Homer,rb,16,1,0,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0
DeAndre Houston-Carson,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Joel Iyiegbuniwe,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Bennett Jackson,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0
Robert Jackson,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Natrell Jamerson,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Darius Jennings,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Dontae Johnson,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Cyrus Jones,cb,8,1,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0
Kingsley Keke,NA,14,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,0,0
Arden Key,NA,7,0,0,0,0,0,0,0,0,0,0,0,2,4,3,1,2,0
Jordan Kunaszyk,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0
Deon Lacey,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Justin Layne,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Elijah Lee,lb,8,1,0,0,0,0,0,0,0,0,0,0,0,7,3,4,1,0
Tyquan Lewis,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0
Rick Lovato,NA,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Jordan Lucas,NA,14,0,0,0,0,0,1,0,0,0,0,0,0,7,3,4,0,0
Cole Luke,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Kareem Martin,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,1,0
Lerentee McCray,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0
Daniel McCullers,NA,16,0,0,0,0,0,1,0,0,0,0,0,0,8,3,5,0,0
Rontez Miles,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0
Jordan Miller,NA,10,0,0,0,0,0,0,0,0,1,0,0,0,4,3,1,0,0
Foster Moreau,te,13,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Johnny Mundt,te,13,2,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0
Ryan Nall,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Ogbonnia Okoronkwo,NA,10,0,0,0,0,0,0,0,0,0,0,0,1.5,7,3,4,1,0
Qadree Ollison,NA,8,0,0,0,0,0,0,0,1,1,0,0,0,4,3,1,0,0
Samaje Perine,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Troymaine Pope,NA,14,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0
Isaac Rochell,NA,16,0,0,0,0,0,1,0,0,0,0,0,1,12,3,9,1,0
Dontavius Russell,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0
Rod Smith,NA,6,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0
Linden Stephens,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Kevin Strong,NA,8,0,0,0,0,0,1,0,0,0,0,0,0,5,3,2,0,0
James Vaughters,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Cameron Wake,lb,9,0,0,0,0,0,1,0,0,0,0,0,2.5,4,3,1,2,1
