,Game,Game,Tack,Tack,Tack,Tack,Tack,Def,Def,Def,Def,Fumb,Fumb,Fumb,Fumb,Fumb
Tavon Wilson,110,43,5,275,82,357,16,8,207,1,19,0,6,12,0,1
Jahleel Addae,96,62,4.5,320,97,417,18,4,114,1,24,1,4,0,0,3
Mackensie Alexander,55,10,4.5,82,21,103,9,2,10,0,21,0,1,0,0,0
Jerome Baker,32,26,4.5,133,72,205,7,2,59,1,7,1,0,0,0,2
Jatavis Brown,56,23,4.5,187,78,265,14,0,0,0,12,0,3,0,0,3
James Burgess,27,21,4.5,106,57,163,21,1,2,0,8,1,1,-4,0,2
Josh Bynes,101,47,4.5,247,131,378,26,4,49,0,26,0,2,23,1,3
Patrick Chung,153,122,4.5,521,257,778,21,11,171,1,57,0,5,0,0,2
Tyeler Davison,77,60,4.5,75,75,150,13,0,0,0,4,0,1,0,0,3
Clelin Ferrell,15,15,4.5,24,14,38,8,0,0,0,5,0,1,0,0,0
Reggie Gilbert,29,5,4.5,42,20,62,6,0,0,0,3,0,1,0,0,0
Chris Harris,139,121,4.5,443,75,518,23,20,457,4,86,0,4,6,0,6
D.J. Hayden,86,40,4.5,267,43,310,14,4,10,0,45,0,3,27,1,4
Stacy McGee,79,29,4.5,75,43,118,6,0,0,0,1,0,2,3,0,2
Robert Nkemdiche,29,6,4.5,26,18,44,10,0,0,0,2,0,1,21,1,2
Danny Shelton,75,59,4.5,111,99,210,14,0,0,0,1,0,0,0,0,1
D.J. Swearinger,99,73,4.5,314,97,411,13,14,109,0,42,1,4,12,0,9
Dalvin Tomlinson,48,48,4.5,81,77,158,13,0,0,0,1,0,0,0,0,1
Tramon Williams,199,153,4.5,583,122,705,14,34,433,1,152,6,13,23,0,6
Kerry Wynn,65,15,4.5,90,53,143,11,1,7,0,5,0,3,0,0,2
Alex Anzalone,22,11,4,63,19,82,5,1,2,0,3,0,0,0,0,3
Tarell Basham,42,3,4,29,19,48,4,1,1,0,6,0,1,2,0,1
Bryce Callahan,45,29,4,110,13,123,11,4,85,0,20,0,0,0,0,1
Jayrone Elliott,44,0,4,53,9,62,7,1,2,0,2,1,1,0,0,1
Marcus Gilchrist,126,98,4,379,120,499,17,14,144,0,39,0,2,40,0,5
Ra'Shede Hageman,44,16,4,41,21,62,9,0,0,0,1,0,0,0,0,0
Micah Hyde,110,80,4,340,99,439,12,16,136,0,44,5,8,40,0,4
Jaleel Johnson,37,4,4,21,22,43,6,0,0,0,0,0,0,0,0,1
Darron Lee,56,38,4,177,95,272,17,3,82,1,11,0,0,0,0,2
Sean Lee,109,90,4,510,272,782,60,14,339,2,30,0,4,10,0,2
Jourdan Lewis,46,13,4,96,21,117,6,4,52,0,17,0,3,77,1,0
Frankie Luvu,27,1,4,27,7,34,6,0,0,0,1,0,0,0,0,0
Bobby McCain,71,40,4,161,47,208,9,6,59,0,25,1,0,0,0,1
Lerentee McCray,72,0,4,38,26,64,3,0,0,0,2,0,0,0,0,2
Kenny Moore,42,31,4,145,31,176,10,6,113,0,19,0,1,1,0,2
Denzel Perryman,56,45,4,225,76,301,23,3,17,0,5,0,1,0,0,2
Patrick Peterson,138,138,4,395,43,438,10,25,244,1,83,19,12,155,0,2
Elandon Roberts,60,33,4,119,87,206,15,0,0,0,6,0,1,0,0,1
Bradley Roby,89,39,4,246,28,274,10,9,170,3,68,0,4,24,1,8
Shamar Stephen,82,49,4,67,72,139,5,0,0,0,3,0,3,0,0,1
Josh Sweat,25,0,4,17,5,22,7,0,0,0,1,0,0,0,0,0
Jaquiski Tartt,59,42,4,203,68,271,15,3,85,0,13,0,2,0,0,2
Chad Thomas,20,8,4,17,9,26,6,0,0,0,1,0,1,0,0,0
K'Waun Williams,69,34,4,177,50,227,11,3,80,0,19,0,3,0,0,9
Damien Wilson,80,38,4,138,64,202,12,0,0,0,3,0,0,0,0,2
Paul Worrilow,76,52,4,264,151,415,15,2,22,0,11,0,4,0,0,3
Budda Baker,46,36,3.5,240,83,323,18,0,0,0,14,0,4,34,1,4
Andrew Billings,47,37,3.5,49,31,80,14,0,0,0,0,0,0,0,0,0
Angelo Blackson,69,22,3.5,49,28,77,7,0,0,0,5,0,1,0,0,1
Jonathan Bullard,55,11,3.5,60,24,84,13,0,0,0,4,0,0,0,0,1
Zach Cunningham,46,43,3.5,220,119,339,15,1,38,1,13,0,3,24,0,3
Tremaine Edmunds,31,31,3.5,146,90,236,15,3,19,0,21,0,0,0,0,2
Samuel Eguavoen,16,6,3.5,22,20,42,7,0,0,0,1,0,1,0,0,0
Sharif Finch,23,3,3.5,30,10,40,6,0,0,0,0,0,1,0,0,2
Charles Harris,41,8,3.5,34,27,61,10,0,0,0,2,0,1,0,0,0
Branden Jackson,39,4,3.5,31,11,42,6,0,0,0,3,0,0,0,0,0
Derwin James,21,21,3.5,98,41,139,7,3,30,0,14,0,0,0,0,0
Michael Pierce,60,30,3.5,90,61,151,13,0,0,0,2,0,4,2,0,0
Caraun Reid,47,16,3.5,35,15,50,11,0,0,0,2,0,2,88,2,1
Buster Skrine,139,89,3.5,428,79,507,15,9,104,0,82,1,4,8,0,5
Daniel Sorensen,79,21,3.5,206,59,265,14,7,111,2,20,1,4,56,0,2
Brent Urban,54,19,3.5,43,25,68,8,0,0,0,7,0,0,0,0,0
Anthony Walker,41,32,3.5,164,87,251,17,2,11,0,6,0,1,0,0,1
Kyle Wilber,117,17,3.5,97,44,141,6,0,0,0,4,0,5,1,0,3
Maurice Alexander,57,23,3,102,32,134,5,2,19,0,5,0,1,3,0,0
Kiko Alonso,86,67,3,369,219,588,30,10,138,1,17,0,7,15,0,7
Adrian Amos,76,72,3,303,55,358,17,5,129,1,26,0,3,40,0,3
Briean Boddy-Calhoun,46,23,3,122,29,151,4,3,94,1,19,1,0,0,0,2
James Bradberry,60,60,3,222,57,279,7,8,38,0,47,0,0,0,0,2
Anthony Brown,56,34,3,136,36,172,8,4,17,0,32,0,0,0,0,3
Taven Bryan,32,9,3,31,22,53,8,0,0,0,1,0,0,0,0,1
Malcolm Butler,84,68,3,258,48,306,8,13,187,2,68,0,2,2,0,5
Kevin Byard,64,55,3,229,91,320,13,17,210,0,37,0,2,6,0,0
Brandon Carr,192,192,3,607,95,702,17,21,367,2,138,0,9,67,0,1
Johnathan Cyprien,75,71,3,380,133,513,12,2,75,0,16,0,2,0,0,4
Darqueze Dennard,77,24,3,200,74,274,5,3,119,1,22,1,1,0,0,3
Davon Godchaux,47,37,3,90,73,163,11,0,0,0,2,0,0,0,0,1
Joe Haden,132,123,3,434,91,525,12,27,252,1,137,1,5,37,0,6
Da'Shawn Hand,16,10,3,26,7,33,5,0,0,0,1,0,1,0,0,2
Ronnie Harrison,28,22,3,68,35,103,5,3,80,0,12,0,1,0,0,0
Joel Heath,32,16,3,24,10,34,3,0,0,0,0,0,0,0,0,0
Josh Jones,35,12,3,101,27,128,7,1,0,0,7,0,0,0,0,0
Karl Joseph,49,41,3,174,62,236,9,4,25,0,15,0,3,0,0,1
Ufomba Kamalu,15,3,3,9,3,12,6,0,0,0,0,0,0,0,0,0
Arden Key,23,10,3,24,10,34,6,0,0,0,0,0,0,0,0,0
Dre Kirkpatrick,99,67,3,254,48,302,9,10,175,2,65,1,3,20,0,1
Josh Mauro,72,37,3,83,39,122,18,0,0,0,5,0,1,0,0,2
Albert McClellan,108,24,3,131,53,184,12,0,0,0,3,0,5,0,0,2
Devin McCourty,155,155,3,599,173,772,18,26,431,1,86,1,6,61,0,11
Steven Means,34,4,3,15,11,26,5,0,0,0,0,0,0,0,0,1
Al-Quadin Muhammad,35,8,3,37,20,57,13,0,0,0,1,0,1,0,0,1
Bilal Nichols,27,18,3,35,20,55,6,0,0,0,1,0,2,0,0,2
Derick Roberson,3,0,3,5,1,6,3,0,0,0,0,0,0,0,0,0
Grover Stewart,46,14,3,34,36,70,8,0,0,0,1,0,0,0,0,0
Destiny Vaeao,33,3,3,18,9,27,2,0,0,0,1,0,0,0,0,1
Jimmie Ward,64,44,3,207,44,251,9,2,37,1,29,0,2,43,0,2
Fred Warner,32,32,3,174,68,242,10,1,46,1,15,0,1,0,0,4
Tahir Whitehead,125,87,3,463,170,633,38,5,46,0,24,0,5,9,0,3
Shawn Williams,106,61,3,293,115,408,14,12,178,1,25,1,3,0,0,1
Xavier Williams,44,6,3,54,29,83,4,0,0,0,0,0,0,0,0,3
Jordan Willis,41,2,3,36,16,52,8,0,0,0,1,0,1,0,0,1
Billy Winn,68,23,3,68,43,111,17,2,0,0,5,0,5,41,0,2
Beau Allen,90,16,2.5,72,45,117,14,0,0,0,2,0,1,10,0,0
Dorance Armstrong,30,1,2.5,20,8,28,2,0,0,0,0,0,0,0,0,1
Vince Biegel,38,10,2.5,41,38,79,9,1,7,0,1,0,0,0,0,0
Trevon Coley,38,29,2.5,44,42,86,11,0,0,0,2,1,2,7,0,0
Sean Davis,48,41,2.5,190,57,247,11,5,103,0,20,0,1,0,0,1
Rashaan Evans,31,23,2.5,102,62,164,11,0,0,0,1,0,1,53,1,0
Jaylon Ferguson,14,9,2.5,20,11,31,6,0,0,0,1,0,1,0,0,0
Nathan Gerry,39,15,2.5,69,37,106,4,3,59,1,8,0,1,0,0,0
John Jenkins,82,29,2.5,87,68,155,8,0,0,0,3,0,1,0,0,1
Austin Johnson,58,13,2.5,46,37,83,4,0,0,0,5,0,0,0,0,0
Jonathan Jones,63,19,2.5,131,36,167,4,4,40,0,24,0,2,0,0,4
Dexter Lawrence,16,16,2.5,24,14,38,3,0,0,0,1,0,0,0,0,1
Josh Martin,51,10,2.5,59,27,86,10,0,0,0,1,0,0,0,0,1
Daniel McCullers,73,3,2.5,21,20,41,4,0,0,0,2,0,0,0,0,0
Matt Milano,44,33,2.5,149,79,228,26,4,56,0,18,0,5,40,1,2
Reggie Ragland,42,32,2.5,100,60,160,10,1,67,0,1,0,1,5,1,1
Damarious Randall,65,56,2.5,243,47,290,11,14,232,2,47,0,2,0,0,0
Dominique Rodgers-Cromartie,162,122,2.5,396,59,455,16,30,535,6,146,2,2,57,1,7
Devin White,13,13,2.5,58,33,91,4,1,5,0,3,0,4,121,2,3
Quinnen Williams,13,9,2.5,15,13,28,4,0,0,0,1,0,1,0,0,0
Chris Wormley,39,15,2.5,35,19,54,4,0,0,0,7,0,0,0,0,0
Ray-Ray Armstrong,84,12,2,116,40,156,8,3,34,0,5,0,3,0,0,3
Tre Boston,88,60,2,252,82,334,12,14,191,1,38,0,1,0,0,1
Caleb Brantley,20,1,2,13,6,19,3,0,0,0,0,0,1,4,0,0
T.J. Carrie,92,50,2,269,62,331,12,5,44,0,43,2,7,4,0,6
Justin Coleman,68,24,2,145,36,181,2,4,113,2,40,0,4,29,1,4
Kurt Coleman,146,83,2,401,153,554,16,21,238,2,36,0,2,0,0,5
Tae Davis,27,5,2,33,12,45,2,0,0,0,1,0,0,0,0,0
Todd Davis,85,63,2,299,171,470,21,1,20,1,13,0,2,1,0,1
Tre Flowers,30,30,2,120,29,149,2,3,0,0,14,0,3,0,0,4
John Franklin-Myers,16,0,2,6,4,10,0,0,0,0,0,0,1,0,0,1
Nate Hairston,38,17,2,72,17,89,4,2,21,0,9,0,0,0,0,0
Treyvon Hester,41,2,2,19,21,40,4,0,0,0,0,0,1,0,0,1
Eddie Jackson,46,46,2,147,37,184,8,10,181,3,26,0,5,143,2,4
Kareem Jackson,145,137,2,516,114,630,26,18,364,3,98,0,3,104,1,7
Leon Jacobs,26,10,2,47,16,63,4,0,0,0,1,0,1,0,0,0
Janoris Jenkins,115,110,2,409,58,467,12,23,531,7,106,4,2,2,1,6
Taron Johnson,23,9,2,73,19,92,3,1,0,0,8,0,0,0,0,2
D.J. Jones,30,15,2,38,12,50,6,0,0,0,1,0,0,0,0,1
Deion Jones,53,51,2,268,141,409,23,9,295,4,32,0,1,5,0,2
Nazair Jones,20,2,2,12,14,26,4,1,24,0,3,0,1,0,0,0
Sebastian Joseph,16,15,2,25,19,44,5,0,0,0,1,0,0,0,0,0
Tyquan Lewis,17,6,2,12,6,18,4,0,0,0,1,0,0,0,0,0
Cameron Malveaux,13,0,2,6,9,15,4,0,0,0,1,0,0,0,0,0
David Mayo,75,17,2,91,53,144,6,0,0,0,4,0,1,0,0,0
R.J. McIntosh,18,0,2,10,8,18,2,0,0,0,0,0,0,0,0,0
Rodney McLeod,113,97,2,358,111,469,12,13,109,0,41,0,8,47,1,11
Jamie Meder,44,17,2,51,44,95,7,0,0,0,1,0,0,0,0,0
Calvin Munson,16,7,2,41,26,67,5,0,0,0,0,0,0,0,0,1
Eric Murray,54,15,2,98,26,124,6,1,0,0,8,0,1,0,0,0
Efe Obada,26,0,2,20,12,32,4,1,0,0,3,0,0,0,0,0
Chris Odom,11,0,2,12,4,16,2,0,0,0,0,0,0,0,0,1
Mike Pennel,77,15,2,77,49,126,8,0,0,0,2,0,0,0,0,1
Malik Reed,15,8,2,16,11,27,4,0,0,0,1,0,1,0,0,0
Patrick Robinson,111,58,2,270,54,324,13,14,195,1,79,0,1,0,0,2
Daniel Ross,16,0,2,10,9,19,5,0,0,0,0,1,2,6,0,1
Andrew Sendejo,110,61,2,294,122,416,8,9,134,0,21,1,3,33,0,1
Tim Settle,31,1,2,15,7,22,3,0,0,0,0,0,0,0,0,0
Nathan Shepherd,25,5,2,11,15,26,6,0,0,0,0,0,0,0,0,0
Richard Sherman,134,128,2,358,108,466,11,35,460,3,114,2,6,14,0,5
Jeffery Simmons,9,7,2,18,14,32,4,0,0,0,1,0,0,0,0,0
Justin Simmons,58,48,2,211,78,289,8,11,186,1,28,1,0,0,0,0
Jimmy Smith,107,83,2,286,43,329,5,14,172,2,70,1,1,47,1,3
Nathan Stupar,82,11,2,110,28,138,2,1,0,0,4,0,3,84,1,2
Jahlani Tavai,15,6,2,37,21,58,5,1,2,0,2,0,0,0,0,1
Adarius Taylor,75,16,2,83,38,121,4,1,7,0,6,0,1,0,1,3
Vincent Taylor,24,0,2,32,19,51,5,0,0,0,2,0,0,0,0,0
Earl Thomas,140,140,2,497,216,713,13,30,455,2,71,1,6,40,1,12
Michael Thomas,88,33,2,217,80,297,11,3,26,0,15,0,1,27,0,3
Nick Vigil,54,37,2,182,113,295,12,2,34,0,14,0,3,13,0,1
Carlos Watkins,26,7,2,21,26,47,5,0,0,0,2,0,1,0,0,0
Christian Wilkins,16,14,2,30,26,56,3,0,0,0,2,1,1,0,0,0
P.J. Williams,47,23,2,117,34,151,6,4,52,1,24,0,0,0,0,2
Daryl Worley,56,49,2,194,49,243,10,5,38,0,34,0,1,6,0,0
Tavon Young,31,17,2,79,11,90,7,3,22,0,13,0,4,74,2,0
Montravius Adams,37,3,1.5,16,17,33,2,0,0,0,3,0,1,0,0,1
Eli Ankou,20,2,1.5,15,11,26,2,0,0,0,0,0,0,0,0,0
Austin Calitro,29,9,1.5,62,23,85,7,0,0,0,2,0,0,0,0,0
Jordan Evans,45,9,1.5,73,38,111,4,1,7,0,6,0,0,0,0,0
Daeshon Hall,13,0,1.5,6,3,9,1,0,0,0,0,0,0,0,0,0
P.J. Hall,30,18,1.5,34,14,48,8,0,0,0,2,0,0,0,0,0
Josey Jewell,31,12,1.5,59,37,96,5,0,0,0,3,0,2,0,0,0
Alexander Johnson,16,12,1.5,51,42,93,5,1,0,0,3,0,1,0,0,2
Tyler Lancaster,28,15,1.5,36,20,56,3,0,0,0,0,0,1,0,0,1
Isaiah Mack,13,1,1.5,4,4,8,1,0,0,0,0,0,1,0,0,0
Avonte Maddox,25,15,1.5,66,16,82,3,2,31,0,14,0,0,0,0,2
Rakeem Nunez-Roches,53,16,1.5,38,24,62,6,0,0,0,0,0,1,0,0,0
Ogbonnia Okoronkwo,10,0,1.5,3,4,7,1,0,0,0,0,0,0,0,0,0
Breeland Speaks,16,4,1.5,15,9,24,3,0,0,0,0,0,2,0,0,1
Manti Te'o,62,49,1.5,212,95,307,22,2,11,0,13,0,1,0,0,1
Joe Thomas,67,10,1.5,112,45,157,9,1,9,0,8,1,1,6,0,2
Darian Thompson,43,21,1.5,90,37,127,5,1,0,0,9,0,1,0,0,0
Antwaun Woods,26,25,1.5,28,32,60,3,0,0,0,1,0,2,3,0,0
Ricardo Allen,65,64,1,227,88,315,5,9,77,0,21,0,1,0,0,0
Abdullah Anderson,6,0,1,3,1,4,1,0,0,0,0,0,0,0,0,0
Stephone Anthony,62,20,1,97,55,152,9,1,5,0,5,0,1,31,1,2
Kendell Beckwith,16,11,1,60,13,73,7,0,0,0,2,0,0,0,0,1
Nick Bellore,135,17,1,137,52,189,4,1,4,0,5,1,5,0,0,1
A.J. Bouye,93,62,1,266,49,315,4,14,233,1,66,0,1,0,0,1
Bashaud Breeland,83,78,1,268,70,338,11,12,236,2,72,0,5,113,1,7
Kentrell Brice,36,14,1,82,18,100,1,1,11,0,6,0,1,0,0,0
Preston Brown,81,77,1,350,259,609,21,5,66,1,14,0,5,30,0,3
Juston Burris,52,11,1,60,11,71,3,4,90,0,14,0,1,0,0,2
Deon Bush,54,8,1,37,7,44,1,0,0,0,3,0,0,0,0,1
Devin Bush,16,15,1,72,37,109,9,2,6,0,4,0,4,20,1,1
Chuck Clark,47,14,1,73,34,107,2,2,17,0,12,0,0,0,0,2
Dylan Cole,31,1,1,42,19,61,5,2,28,1,7,0,1,27,0,0
William Compton,78,39,1,201,138,339,6,3,31,0,12,0,3,0,0,2
Ryan Connelly,4,3,1,10,10,20,2,2,18,0,2,0,0,0,0,0
Justin Currie,3,0,1,6,1,7,2,0,0,0,0,0,0,0,0,0
Quandre Diggs,70,45,1,207,49,256,12,9,168,2,27,0,2,0,0,4
Quinton Dunbar,58,25,1,130,20,150,3,9,27,0,35,1,1,0,0,0
Brandon Dunn,63,24,1,50,38,88,8,0,0,0,1,0,1,0,0,1
Terrell Edmunds,32,31,1,126,57,183,3,1,35,0,7,0,1,0,0,0
Mike Edwards,15,7,1,33,12,45,3,0,0,0,6,0,2,-1,0,0
Duke Ejiofor,12,0,1,6,3,9,1,0,0,0,2,0,1,0,0,0
Antone Exum,50,10,1,54,11,65,3,1,32,1,7,0,3,0,0,2
Folorunso Fatukasi,15,0,1,14,13,27,7,0,0,0,1,0,0,0,0,0
Kendall Fuller,55,31,1,173,55,228,8,6,4,0,26,0,0,0,0,2
Stephon Gilmore,113,111,1,329,45,374,6,24,437,2,111,0,3,0,0,5
Carl Granderson,8,0,1,8,3,11,2,0,0,0,0,0,0,0,0,0
Raven Greene,10,1,1,10,2,12,1,0,0,0,2,0,0,0,0,1
Dre Greenlaw,16,11,1,64,28,92,3,1,47,0,2,0,0,0,0,0
Shaquill Griffin,45,41,1,150,36,186,7,3,8,0,36,0,0,0,0,0
Kamu Grugier-Hill,54,16,1,76,22,98,11,1,24,0,2,0,1,29,0,2
Porter Gustin,6,0,1,7,6,13,1,0,0,0,0,0,1,0,0,0
Grant Haley,25,12,1,65,11,76,7,0,0,0,2,0,0,0,0,0
Will Harris,16,6,1,30,13,43,1,0,0,0,3,0,0,0,0,0
Troy Hill,57,23,1,117,24,141,3,4,13,0,19,0,1,0,0,0
Cole Holcomb,16,15,1,74,31,105,6,0,0,0,1,0,0,0,0,3
Jalyn Holmes,11,0,1,5,2,7,2,0,0,0,0,0,0,0,0,0
Xavien Howard,40,39,1,108,32,140,5,12,123,1,35,0,1,0,0,1
Kemal Ishmael,95,23,1,183,107,290,6,5,121,1,13,0,3,18,0,2
Donte Jackson,29,26,1,95,19,114,5,7,25,0,17,0,2,-1,0,1
William Jackson,45,34,1,81,24,105,4,2,94,1,30,1,0,0,0,0
Darryl Johnson,16,0,1,10,5,15,2,0,0,0,0,0,0,0,0,0
Kevin Johnson,51,19,1,131,33,164,6,1,22,0,19,0,1,53,0,0
Colin Jones,137,14,1,93,40,133,5,3,15,0,7,0,3,0,1,1
Kevin King,30,25,1,92,19,111,5,6,54,0,22,1,1,0,0,1
Chris Landrum,17,0,1,5,5,10,1,0,0,0,0,0,0,0,0,0
Nevin Lawson,73,59,1,192,37,229,5,0,0,0,30,0,1,44,1,1
Cre'von LeBlanc,43,15,1,83,13,96,2,2,24,1,16,0,0,0,0,1
Elijah Lee,38,6,1,60,16,76,4,0,0,0,2,0,1,0,0,2
Jason McCourty,150,126,1,558,123,681,18,18,174,1,103,0,5,139,2,9
Cassanova McKinzy,6,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0
Terrance Mitchell,53,22,1,126,18,144,2,7,26,0,36,0,1,0,0,3
Nicholas Morrow,48,18,1,123,53,176,12,1,11,0,11,0,0,0,0,1
Sean Murphy-Bunting,16,10,1,37,7,44,1,3,88,1,8,0,0,0,0,1
Nik Needham,12,11,1,41,13,54,1,2,23,0,11,0,0,0,0,1
Corey Nelson,61,8,1,77,39,116,3,0,0,0,6,0,1,0,0,0
Derrick Nnadi,32,27,1,35,48,83,3,1,0,0,1,0,0,0,0,1
Josh Norman,111,91,1,311,105,416,8,14,291,2,79,1,5,12,0,12
Bobby Okereke,16,8,1,48,17,65,2,0,0,0,2,1,1,0,0,2
Will Parks,62,15,1,104,45,149,4,4,23,0,13,0,1,0,0,2
Donald Payne,30,5,1,47,29,76,3,0,0,0,1,0,2,0,0,0
Jabrill Peppers,40,40,1,148,65,213,11,3,32,1,13,7,4,32,0,3
Mike Purcell,38,15,1,57,33,90,10,0,0,0,0,0,0,0,0,1
Patrick Ricard,42,9,1,13,5,18,4,0,0,0,1,0,0,0,0,1
Derek Rivers,6,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0
Jake Ryan,45,27,1,144,69,213,15,0,0,0,3,0,2,0,0,1
Khalen Saunders,12,4,1,13,9,22,0,0,0,0,1,0,0,0,0,0
Coty Sensabaugh,107,45,1,220,52,272,6,3,74,1,32,0,3,0,0,2
Zach Sieler,9,1,1,6,6,12,1,0,0,0,2,0,0,0,0,0
Darius Slay,103,94,1,296,51,347,5,19,265,1,104,0,2,38,0,1
Taylor Stallworth,18,0,1,11,5,16,1,0,0,0,0,0,1,0,0,0
Julian Stanford,88,11,1,71,22,93,4,0,0,0,1,0,2,0,0,1
Aqib Talib,148,134,1,385,77,462,12,35,752,10,125,0,4,42,0,5
Charles Tapper,2,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0
Roderic Teamer,7,6,1,30,10,40,1,1,3,0,2,0,0,0,0,0
Robert Thomas,26,0,1,8,14,22,3,0,0,0,0,0,0,0,0,0
Vincent Valentine,16,2,1,11,9,20,2,0,0,0,0,0,0,0,0,0
Jeremiah Valoaga,13,0,1,7,0,7,2,0,0,0,1,0,0,0,0,0
Andrew Van Ginkel,6,1,1,11,4,15,4,0,0,0,0,0,1,0,0,0
Trae Waynes,74,53,1,215,32,247,9,7,49,0,42,0,1,20,0,2
B.W. Webb,80,35,1,142,22,164,4,4,8,0,27,0,0,0,0,1
Tre'Davious White,47,47,1,145,36,181,8,12,180,0,43,0,2,52,1,3
Jermaine Whitehead,34,10,1,58,18,76,4,1,0,0,5,0,0,0,0,1
Marcus Williams,46,46,1,148,39,187,1,10,168,1,23,0,1,0,0,2
Mack Wilson,16,14,1,57,25,82,4,1,21,0,7,0,0,0,0,1
Andrew Wingard,16,2,1,22,8,30,0,0,0,0,0,0,0,0,0,1
Jonathan Woodard,6,0,1,8,2,10,2,0,0,0,0,0,0,0,0,0
Eddie Yarbrough,31,6,1,44,19,63,8,0,0,0,2,0,0,0,0,0
Jaire Alexander,29,27,0.5,111,13,124,5,3,64,0,28,2,3,0,0,1
Michael Bennett Jr.,16,0,0.5,12,4,16,2,0,0,0,1,0,0,0,0,0
Shilique Calhoun,41,1,0.5,24,14,38,3,0,0,0,1,0,0,0,0,1
Jermaine Carter,32,6,0.5,29,15,44,3,0,0,0,0,0,0,0,0,0
Blake Cashman,7,5,0.5,27,13,40,3,0,0,0,1,0,1,0,0,0
John Cominsky,10,0,0.5,3,8,11,0,0,0,0,2,0,0,0,0,0
Bryan Cox,25,2,0.5,18,12,30,5,0,0,0,0,0,1,15,0,0
Carl Davis,36,12,0.5,17,15,32,2,0,0,0,3,0,0,0,0,0
Javien Elliott,52,10,0.5,59,18,77,5,2,50,0,4,0,0,0,0,0
Justin Ellis,70,42,0.5,82,43,125,6,0,0,0,2,0,0,0,0,0
Poona Ford,26,15,0.5,34,19,53,8,0,0,0,1,0,1,0,0,0
B.J. Goodson,52,29,0.5,109,51,160,7,2,8,0,6,0,1,7,0,2
Bruce Hector,11,1,0.5,0,2,2,0,0,0,0,0,0,0,0,0,0
